frame,person_id,class,bbox,confidence
47,1,person,"[402.64, 1657.5, 738.94, 2638.1]",0.85
47,2,person,"[1212.71, 1647.85, 1450.72, 2393.86]",0.87
47,3,person,"[13.17, 1587.55, 367.84, 2667.04]",0.87
47,4,person,"[1882.68, 1678.26, 2050.71, 2132.94]",0.74
47,6,person,"[1015.66, 1693.82, 1221.2, 2353.75]",0.79
47,7,person,"[848.7, 1699.72, 1004.4, 2162.14]",0.73
47,8,person,"[689.15, 1690.37, 837.81, 2103.77]",0.61
47,56,person,"[2069.83, 1694.5, 2154.11, 1961.59]",0.64
47,9,backpack,"[1040.31, 1804.81, 1197.77, 2021.87]",0.33
48,1,person,"[404.61, 1653.41, 746.64, 2647.28]",0.84
48,2,person,"[1215.78, 1643.85, 1454.23, 2389.08]",0.88
48,3,person,"[30.09, 1585.69, 383.83, 2658.98]",0.86
48,4,person,"[1887.06, 1676.82, 2053.1, 2125.44]",0.76
48,6,person,"[1016.69, 1688.92, 1223.92, 2356.1]",0.8
48,7,person,"[850.21, 1699.43, 1006.26, 2163.49]",0.75
48,8,person,"[691.03, 1692.18, 838.97, 2103.14]",0.64
48,56,person,"[2072.53, 1685.45, 2160.0, 1971.04]",0.62
48,9,backpack,"[1033.31, 1776.73, 1209.93, 2020.26]",0.61
49,1,person,"[411.7, 1648.83, 749.15, 2625.45]",0.83
49,2,person,"[1215.38, 1639.62, 1455.11, 2385.24]",0.86
49,3,person,"[38.48, 1582.1, 395.05, 2659.86]",0.86
49,4,person,"[1893.13, 1673.48, 2058.91, 2121.32]",0.78
49,6,person,"[1017.16, 1676.92, 1226.18, 2351.97]",0.77
49,7,person,"[850.35, 1698.67, 1006.58, 2164.15]",0.75
49,8,person,"[690.23, 1684.86, 843.73, 2110.08]",0.61
49,56,person,"[2078.01, 1682.9, 2160.0, 1974.16]",0.53
49,9,backpack,"[1030.66, 1760.97, 1217.18, 2019.01]",0.61
50,1,person,"[418.29, 1637.42, 757.73, 2619.63]",0.84
50,2,person,"[1214.36, 1636.92, 1457.55, 2392.02]",0.87
50,3,person,"[43.51, 1573.36, 404.0, 2656.55]",0.86
50,4,person,"[1899.49, 1669.58, 2064.78, 2114.88]",0.8
50,6,person,"[1019.28, 1681.54, 1227.61, 2355.42]",0.77
50,7,person,"[849.91, 1696.59, 1007.26, 2166.18]",0.75
50,8,person,"[690.45, 1682.07, 845.63, 2108.82]",0.62
50,56,person,"[2081.1, 1668.8, 2160.0, 1970.62]",0.48
50,9,backpack,"[1035.72, 1771.84, 1215.45, 2018.77]",0.58
51,1,person,"[428.87, 1633.56, 768.72, 2612.49]",0.86
51,2,person,"[1216.47, 1635.83, 1461.22, 2394.26]",0.89
51,3,person,"[44.46, 1559.29, 415.3, 2667.88]",0.85
51,4,person,"[1904.09, 1668.81, 2068.29, 2110.37]",0.8
51,6,person,"[1020.58, 1676.92, 1229.93, 2356.1]",0.77
51,7,person,"[851.64, 1696.5, 1007.09, 2160.66]",0.75
51,8,person,"[694.12, 1682.26, 846.86, 2098.33]",0.6
51,9,backpack,"[1037.82, 1777.96, 1214.53, 2018.84]",0.59
52,1,person,"[432.64, 1626.61, 773.36, 2602.35]",0.84
52,2,person,"[1221.72, 1632.46, 1465.82, 2391.12]",0.88
52,3,person,"[44.95, 1559.19, 418.73, 2670.7]",0.86
52,4,person,"[1911.86, 1666.72, 2078.08, 2113.05]",0.82
52,6,person,"[1026.23, 1696.34, 1230.44, 2358.9]",0.77
52,7,person,"[851.1, 1697.16, 1006.24, 2161.75]",0.75
52,8,person,"[692.99, 1683.23, 850.25, 2110.72]",0.58
52,9,backpack,"[1044.92, 1790.82, 1215.5, 2022.56]",0.66
53,1,person,"[436.69, 1622.31, 778.82, 2593.09]",0.86
53,2,person,"[1225.95, 1633.53, 1471.67, 2400.76]",0.88
53,3,person,"[44.91, 1568.2, 423.51, 2689.23]",0.86
53,4,person,"[1918.03, 1666.92, 2084.73, 2114.81]",0.82
53,6,person,"[1025.8, 1687.11, 1231.4, 2355.35]",0.66
53,7,person,"[851.79, 1697.07, 1007.23, 2164.78]",0.77
53,8,person,"[695.08, 1683.02, 850.01, 2102.42]",0.56
53,9,backpack,"[1045.29, 1785.6, 1222.52, 2027.54]",0.58
53,66,person,"[1603.06, 1710.99, 1664.47, 1840.52]",0.37
53,67,person,"[1690.87, 1698.06, 1753.23, 1854.64]",0.39
53,68,person,"[6.16, 1696.38, 139.69, 2462.58]",0.34
54,1,person,"[441.5, 1622.09, 783.0, 2583.61]",0.87
54,2,person,"[1229.71, 1635.16, 1475.09, 2404.39]",0.9
54,3,person,"[55.13, 1578.52, 436.09, 2703.7]",0.86
54,4,person,"[1922.99, 1669.45, 2088.37, 2114.41]",0.81
54,6,person,"[1031.52, 1701.51, 1232.93, 2354.36]",0.75
54,7,person,"[853.08, 1697.4, 1006.37, 2159.38]",0.77
54,8,person,"[697.88, 1683.8, 849.65, 2090.53]",0.5
54,9,backpack,"[1042.2, 1784.24, 1222.62, 2031.55]",0.66
54,66,person,"[1602.52, 1710.22, 1664.89, 1841.95]",0.32
54,67,person,"[1688.41, 1694.76, 1752.0, 1854.71]",0.32
54,68,person,"[1.24, 1682.14, 138.94, 2473.82]",0.48
55,1,person,"[441.07, 1623.35, 792.93, 2612.06]",0.83
55,2,person,"[1231.94, 1639.94, 1476.41, 2410.35]",0.88
55,3,person,"[60.52, 1584.59, 445.26, 2720.88]",0.86
55,4,person,"[1929.51, 1669.7, 2095.35, 2116.98]",0.8
55,6,person,"[1033.72, 1709.45, 1236.47, 2364.87]",0.75
55,7,person,"[854.43, 1697.27, 1010.24, 2168.02]",0.77
55,8,person,"[697.84, 1686.94, 851.62, 2096.79]",0.46
55,9,backpack,"[1037.89, 1782.52, 1221.19, 2035.03]",0.59
55,66,person,"[1601.66, 1710.96, 1664.4, 1843.87]",0.28
55,67,person,"[1693.06, 1696.19, 1757.16, 1857.02]",0.36
55,68,person,"[0.0, 1669.02, 141.43, 2488.06]",0.41
56,1,person,"[443.08, 1626.62, 801.01, 2631.28]",0.85
56,2,person,"[1233.86, 1643.71, 1480.26, 2424.24]",0.86
56,3,person,"[65.92, 1596.35, 448.1, 2724.14]",0.83
56,4,person,"[1935.75, 1667.09, 2102.65, 2119.2]",0.78
56,6,person,"[1033.08, 1710.72, 1236.88, 2368.02]",0.73
56,7,person,"[857.6, 1695.4, 1012.9, 2166.81]",0.72
56,8,person,"[701.99, 1688.6, 848.12, 2077.62]",0.42
56,9,backpack,"[1036.38, 1779.72, 1221.11, 2034.37]",0.57
56,66,person,"[1600.79, 1712.92, 1662.7, 1844.48]",0.27
56,67,person,"[1690.6, 1695.31, 1755.49, 1858.7]",0.32
56,68,person,"[0.0, 1672.05, 139.6, 2502.59]",0.33
57,1,person,"[442.16, 1633.07, 803.55, 2644.24]",0.87
57,2,person,"[1240.89, 1648.27, 1483.24, 2418.9]",0.86
57,3,person,"[66.61, 1606.08, 450.72, 2724.79]",0.84
57,4,person,"[1942.36, 1667.37, 2110.1, 2120.72]",0.76
57,6,person,"[1037.45, 1714.42, 1239.39, 2365.35]",0.72
57,7,person,"[857.75, 1698.65, 1014.6, 2177.99]",0.73
57,8,person,"[704.22, 1689.34, 847.8, 2071.12]",0.37
57,9,backpack,"[1039.06, 1770.53, 1226.79, 2030.23]",0.55
57,67,person,"[1687.44, 1690.87, 1753.85, 1859.17]",0.26
57,68,person,"[0.0, 1679.41, 137.68, 2517.29]",0.44
58,1,person,"[455.76, 1637.86, 819.93, 2664.02]",0.86
58,2,person,"[1246.72, 1650.74, 1490.36, 2431.13]",0.85
58,3,person,"[76.38, 1607.68, 463.62, 2725.35]",0.86
58,4,person,"[1945.1, 1668.72, 2114.42, 2125.18]",0.78
58,6,person,"[1039.28, 1716.67, 1240.68, 2364.49]",0.77
58,7,person,"[859.38, 1699.63, 1016.01, 2180.42]",0.73
58,8,person,"[708.71, 1691.04, 850.7, 2068.09]",0.47
58,9,backpack,"[1042.64, 1785.69, 1219.35, 2029.93]",0.58
58,67,person,"[1689.88, 1685.92, 1759.33, 1862.03]",0.29
58,68,person,"[0.0, 1682.04, 137.16, 2529.62]",0.5
59,1,person,"[461.38, 1641.33, 826.81, 2673.7]",0.86
59,2,person,"[1251.7, 1650.67, 1492.64, 2426.5]",0.85
59,3,person,"[74.9, 1607.76, 466.97, 2733.47]",0.86
59,4,person,"[1947.23, 1669.34, 2117.84, 2128.79]",0.79
59,6,person,"[1042.38, 1713.82, 1241.13, 2351.33]",0.74
59,7,person,"[865.07, 1700.57, 1021.29, 2184.8]",0.75
59,8,person,"[711.63, 1691.96, 850.55, 2060.04]",0.48
59,9,backpack,"[1051.48, 1791.35, 1221.4, 2027.43]",0.67
59,67,person,"[1693.32, 1690.05, 1761.75, 1863.46]",0.31
59,68,person,"[0.0, 1690.53, 129.66, 2537.96]",0.39
60,1,person,"[470.3, 1644.69, 834.92, 2680.31]",0.88
60,2,person,"[1256.83, 1650.92, 1498.26, 2432.0]",0.82
60,3,person,"[81.55, 1600.65, 478.0, 2745.64]",0.86
60,4,person,"[1952.09, 1669.44, 2124.15, 2128.73]",0.8
60,6,person,"[1043.36, 1691.04, 1246.61, 2345.29]",0.71
60,7,person,"[868.85, 1701.19, 1024.08, 2187.37]",0.75
60,8,person,"[714.56, 1692.49, 846.97, 2039.97]",0.45
60,9,backpack,"[1056.18, 1790.69, 1227.82, 2029.18]",0.56
60,67,person,"[1695.37, 1690.94, 1763.02, 1862.23]",0.29
60,68,person,"[0.0, 1727.71, 118.84, 2547.57]",0.63
60,66,person,"[1602.81, 1701.43, 1668.76, 1843.05]",0.3
61,1,person,"[469.19, 1649.18, 832.02, 2676.06]",0.9
61,2,person,"[1264.55, 1651.58, 1498.84, 2410.96]",0.82
61,3,person,"[92.11, 1597.09, 488.04, 2744.4]",0.85
61,4,person,"[1956.76, 1671.62, 2126.45, 2118.44]",0.81
61,6,person,"[1043.52, 1679.55, 1248.68, 2341.83]",0.75
61,7,person,"[872.27, 1703.73, 1027.98, 2196.65]",0.75
61,8,person,"[716.28, 1691.9, 845.96, 2028.36]",0.48
61,9,backpack,"[1057.64, 1789.28, 1227.38, 2024.82]",0.64
61,67,person,"[1698.41, 1692.48, 1767.08, 1866.19]",0.42
61,68,person,"[0.0, 1742.36, 117.03, 2555.83]",0.66
61,66,person,"[1606.95, 1707.56, 1670.71, 1844.14]",0.36
62,1,person,"[488.41, 1653.63, 833.39, 2622.95]",0.83
62,2,person,"[1270.77, 1647.42, 1504.56, 2405.42]",0.83
62,3,person,"[105.8, 1592.93, 477.05, 2662.52]",0.85
62,4,person,"[1964.9, 1673.7, 2136.16, 2117.34]",0.77
62,6,person,"[1048.08, 1693.82, 1249.27, 2343.93]",0.75
62,7,person,"[875.97, 1703.0, 1028.38, 2190.24]",0.73
62,8,person,"[714.86, 1688.49, 848.53, 2032.83]",0.49
62,9,backpack,"[1062.4, 1795.79, 1225.49, 2021.57]",0.45
62,67,person,"[1693.98, 1688.81, 1765.08, 1868.25]",0.36
62,68,person,"[0.0, 1717.06, 127.3, 2575.82]",0.67
62,66,person,"[1610.33, 1710.66, 1673.38, 1844.53]",0.34
63,1,person,"[498.6, 1653.22, 835.93, 2594.89]",0.83
63,2,person,"[1273.65, 1640.32, 1506.98, 2395.89]",0.83
63,3,person,"[107.13, 1590.92, 468.72, 2629.36]",0.85
63,4,person,"[1971.28, 1672.99, 2145.01, 2119.68]",0.75
63,6,person,"[1051.13, 1700.94, 1251.97, 2348.78]",0.77
63,7,person,"[878.18, 1703.68, 1027.03, 2183.41]",0.73
63,8,person,"[716.69, 1687.66, 850.21, 2028.95]",0.44
63,9,backpack,"[1058.16, 1785.68, 1225.66, 2018.75]",0.45
63,67,person,"[1689.32, 1684.21, 1761.38, 1866.49]",0.39
63,68,person,"[0.0, 1711.35, 128.38, 2583.82]",0.61
63,66,person,"[1609.46, 1711.12, 1670.86, 1842.66]",0.27
64,1,person,"[505.67, 1647.54, 837.83, 2571.81]",0.86
64,2,person,"[1277.22, 1634.57, 1510.55, 2390.9]",0.84
64,3,person,"[104.86, 1585.5, 470.89, 2629.05]",0.86
64,4,person,"[1977.1, 1673.84, 2148.83, 2114.61]",0.72
64,6,person,"[1052.89, 1704.99, 1253.48, 2351.7]",0.8
64,7,person,"[879.29, 1703.11, 1029.08, 2188.95]",0.72
64,8,person,"[715.19, 1687.27, 854.9, 2045.46]",0.44
64,9,backpack,"[1061.31, 1795.24, 1223.2, 2020.42]",0.38
64,68,person,"[0.0, 1716.11, 124.73, 2572.33]",0.31
64,76,person,"[351.74, 1609.06, 553.11, 2171.65]",0.52
65,1,person,"[504.15, 1642.46, 841.39, 2586.04]",0.87
65,2,person,"[1279.82, 1630.58, 1511.1, 2377.02]",0.83
65,3,person,"[96.26, 1580.08, 468.84, 2631.33]",0.86
65,4,person,"[1982.27, 1671.88, 2153.36, 2111.28]",0.75
65,6,person,"[1054.8, 1703.09, 1256.38, 2352.54]",0.81
65,7,person,"[879.52, 1702.58, 1030.06, 2192.69]",0.72
65,8,person,"[712.17, 1687.47, 859.41, 2067.13]",0.45
65,9,backpack,"[1065.31, 1801.35, 1225.19, 2022.07]",0.42
65,76,person,"[343.77, 1610.25, 546.05, 2176.69]",0.46
66,1,person,"[501.5, 1639.42, 840.55, 2593.58]",0.88
66,2,person,"[1280.12, 1626.49, 1513.47, 2377.44]",0.84
66,3,person,"[98.06, 1577.69, 473.18, 2627.78]",0.86
66,4,person,"[1989.07, 1669.65, 2159.61, 2109.86]",0.76
66,6,person,"[1055.79, 1697.96, 1258.97, 2352.8]",0.79
66,7,person,"[882.5, 1701.44, 1032.81, 2191.99]",0.69
66,8,person,"[711.61, 1685.84, 860.25, 2071.56]",0.41
66,9,backpack,"[1064.88, 1797.16, 1230.15, 2025.09]",0.46
66,76,person,"[331.39, 1602.79, 539.04, 2186.3]",0.29
67,1,person,"[503.7, 1637.25, 839.83, 2589.61]",0.89
67,2,person,"[1282.64, 1622.44, 1516.92, 2375.18]",0.84
67,3,person,"[106.01, 1584.9, 483.07, 2631.82]",0.84
67,4,person,"[1996.52, 1670.35, 2160.0, 2108.88]",0.7
67,6,person,"[1054.75, 1688.73, 1260.76, 2352.68]",0.79
67,7,person,"[883.7, 1703.13, 1033.91, 2189.86]",0.73
67,8,person,"[712.16, 1684.87, 861.63, 2076.64]",0.36
67,9,backpack,"[1066.22, 1796.66, 1232.79, 2025.94]",0.36
67,76,person,"[324.16, 1596.47, 529.56, 2175.47]",0.33
67,67,person,"[1688.39, 1693.21, 1754.39, 1860.56]",0.34
67,66,person,"[1618.04, 1704.97, 1680.85, 1839.07]",0.33
68,1,person,"[506.24, 1634.03, 838.42, 2579.65]",0.89
68,2,person,"[1285.62, 1621.88, 1519.73, 2374.89]",0.83
68,3,person,"[120.26, 1587.36, 503.28, 2640.31]",0.82
68,4,person,"[2003.9, 1670.27, 2160.0, 2104.78]",0.67
68,6,person,"[1056.84, 1689.33, 1261.31, 2348.72]",0.77
68,7,person,"[886.14, 1698.7, 1036.96, 2186.52]",0.7
68,8,person,"[712.42, 1683.78, 859.88, 2071.38]",0.33
68,9,backpack,"[1065.04, 1777.29, 1244.44, 2024.94]",0.5
68,76,person,"[317.72, 1594.53, 531.23, 2200.91]",0.29
68,79,person,"[326.47, 1593.21, 515.88, 2567.12]",0.32
68,67,person,"[1686.12, 1698.36, 1750.54, 1861.5]",0.3
68,66,person,"[1618.89, 1705.21, 1681.33, 1838.93]",0.27
69,1,person,"[506.91, 1632.1, 836.27, 2573.66]",0.87
69,2,person,"[1286.75, 1621.33, 1522.74, 2383.49]",0.83
69,3,person,"[137.45, 1589.21, 527.51, 2652.53]",0.8
69,4,person,"[2007.81, 1667.27, 2160.0, 2104.69]",0.7
69,6,person,"[1056.76, 1686.56, 1263.35, 2353.35]",0.78
69,7,person,"[887.67, 1694.71, 1040.13, 2191.05]",0.71
69,8,person,"[712.34, 1683.43, 863.24, 2083.82]",0.35
69,9,backpack,"[1066.42, 1772.15, 1251.09, 2027.02]",0.53
70,1,person,"[508.03, 1630.33, 838.2, 2574.73]",0.86
70,2,person,"[1290.62, 1621.65, 1526.44, 2388.06]",0.84
70,3,person,"[150.5, 1593.71, 545.33, 2663.4]",0.82
70,4,person,"[2012.06, 1664.97, 2160.0, 2101.66]",0.69
70,6,person,"[1058.98, 1694.98, 1265.24, 2360.98]",0.76
70,7,person,"[891.72, 1692.72, 1043.35, 2186.83]",0.72
70,8,person,"[712.99, 1684.3, 866.92, 2095.95]",0.35
70,9,backpack,"[1071.45, 1775.97, 1255.65, 2029.1]",0.52
70,68,person,"[32.29, 1656.43, 173.36, 2521.82]",0.53
70,67,person,"[1686.1, 1693.78, 1753.83, 1864.3]",0.32
71,1,person,"[507.49, 1631.82, 840.27, 2585.09]",0.84
71,2,person,"[1294.45, 1623.45, 1528.14, 2388.03]",0.84
71,3,person,"[155.31, 1594.5, 553.51, 2667.73]",0.82
71,4,person,"[2015.59, 1664.19, 2160.0, 2098.45]",0.7
71,6,person,"[1062.44, 1702.75, 1266.85, 2361.91]",0.78
71,7,person,"[888.88, 1691.04, 1043.1, 2190.89]",0.74
71,8,person,"[714.55, 1683.57, 865.95, 2089.16]",0.37
71,9,backpack,"[1082.89, 1787.67, 1260.0, 2030.0]",0.67
71,83,person,"[1044.77, 1665.32, 1145.12, 1853.2]",0.33
71,68,person,"[33.72, 1646.83, 177.46, 2486.28]",0.55
72,1,person,"[512.07, 1632.92, 843.64, 2582.87]",0.83
72,2,person,"[1299.5, 1626.83, 1529.85, 2384.81]",0.81
72,3,person,"[158.18, 1589.78, 561.29, 2672.34]",0.77
72,4,person,"[2018.5, 1662.77, 2160.0, 2097.6]",0.66
72,6,person,"[1066.35, 1708.23, 1269.12, 2359.84]",0.79
72,7,person,"[881.97, 1689.67, 1039.53, 2192.87]",0.76
72,8,person,"[714.53, 1680.36, 870.15, 2100.71]",0.43
72,9,backpack,"[1086.87, 1794.55, 1260.58, 2030.15]",0.55
72,83,person,"[1047.06, 1666.32, 1147.85, 1855.15]",0.37
72,68,person,"[32.13, 1643.04, 182.41, 2481.76]",0.6
72,85,backpack,"[1331.13, 1758.28, 1520.18, 2020.99]",0.41
73,1,person,"[515.11, 1635.05, 850.89, 2596.54]",0.81
73,2,person,"[1302.38, 1631.22, 1532.46, 2394.03]",0.82
73,3,person,"[159.6, 1593.11, 563.63, 2675.09]",0.8
73,4,person,"[2020.36, 1665.45, 2160.0, 2094.96]",0.71
73,6,person,"[1071.21, 1710.93, 1273.16, 2358.34]",0.83
73,7,person,"[883.54, 1690.42, 1041.88, 2191.85]",0.74
73,8,person,"[716.9, 1680.23, 873.64, 2108.83]",0.35
73,9,backpack,"[1088.21, 1792.72, 1262.47, 2027.26]",0.47
73,83,person,"[1048.72, 1668.51, 1148.94, 1856.43]",0.43
73,68,person,"[33.45, 1641.27, 189.31, 2482.89]",0.39
73,85,backpack,"[1337.34, 1764.06, 1524.11, 2023.91]",0.31
74,1,person,"[515.39, 1636.38, 853.94, 2604.37]",0.84
74,2,person,"[1303.49, 1637.51, 1532.49, 2400.83]",0.82
74,3,person,"[154.27, 1598.3, 556.6, 2675.15]",0.84
74,4,person,"[2022.88, 1668.86, 2160.0, 2098.96]",0.67
74,6,person,"[1076.06, 1709.49, 1276.9, 2350.56]",0.81
74,7,person,"[887.62, 1691.32, 1046.9, 2193.28]",0.75
74,8,person,"[718.16, 1682.2, 874.23, 2112.75]",0.33
74,9,backpack,"[1094.49, 1793.8, 1267.78, 2025.5]",0.33
74,83,person,"[1052.21, 1670.9, 1150.71, 1855.65]",0.39
74,68,person,"[28.74, 1641.08, 193.78, 2501.1]",0.65
75,1,person,"[516.07, 1640.36, 858.33, 2619.46]",0.83
75,2,person,"[1303.57, 1642.42, 1532.44, 2409.96]",0.82
75,3,person,"[147.23, 1602.84, 546.69, 2671.93]",0.84
75,4,person,"[2025.57, 1670.26, 2160.0, 2101.01]",0.7
75,6,person,"[1078.04, 1708.07, 1280.33, 2352.22]",0.83
75,7,person,"[890.4, 1692.17, 1050.67, 2194.77]",0.73
75,8,person,"[722.88, 1682.66, 877.55, 2114.45]",0.3
75,9,backpack,"[1096.84, 1797.56, 1268.62, 2025.22]",0.54
75,83,person,"[1053.07, 1670.56, 1152.79, 1857.47]",0.43
75,68,person,"[24.29, 1644.51, 202.34, 2550.6]",0.74
76,1,person,"[517.4, 1646.42, 858.88, 2620.23]",0.84
76,2,person,"[1305.57, 1645.19, 1530.88, 2402.72]",0.82
76,3,person,"[146.98, 1601.96, 546.96, 2678.48]",0.85
76,4,person,"[2027.78, 1672.1, 2160.0, 2095.06]",0.63
76,6,person,"[1078.76, 1704.23, 1281.65, 2347.61]",0.84
76,7,person,"[889.97, 1691.85, 1051.06, 2195.26]",0.72
76,8,person,"[726.39, 1685.22, 878.82, 2115.5]",0.26
76,9,backpack,"[1099.94, 1796.77, 1272.35, 2024.11]",0.28
76,83,person,"[1053.95, 1669.49, 1153.32, 1855.33]",0.35
76,68,person,"[15.49, 1649.68, 206.7, 2611.83]",0.72
77,1,person,"[523.85, 1653.28, 864.95, 2625.1]",0.86
77,2,person,"[1304.76, 1645.56, 1529.99, 2405.76]",0.8
77,3,person,"[145.15, 1597.67, 545.71, 2684.32]",0.84
77,4,person,"[2029.27, 1670.8, 2160.0, 2099.05]",0.59
77,6,person,"[1080.74, 1703.02, 1285.01, 2347.79]",0.81
77,7,person,"[890.44, 1693.74, 1052.39, 2196.13]",0.7
77,9,backpack,"[1099.35, 1798.7, 1273.08, 2026.0]",0.49
77,83,person,"[1055.46, 1669.18, 1154.85, 1855.0]",0.38
77,68,person,"[6.33, 1665.24, 201.13, 2649.21]",0.61
78,1,person,"[529.19, 1657.59, 870.59, 2626.21]",0.85
78,2,person,"[1308.12, 1644.0, 1529.37, 2388.64]",0.8
78,3,person,"[149.69, 1596.51, 544.64, 2678.37]",0.85
78,4,person,"[2030.88, 1670.06, 2160.0, 2099.87]",0.57
78,6,person,"[1082.13, 1698.72, 1288.36, 2348.54]",0.78
78,7,person,"[890.41, 1694.28, 1052.87, 2193.16]",0.72
78,9,backpack,"[1103.82, 1799.33, 1278.37, 2027.88]",0.6
78,83,person,"[1057.49, 1669.21, 1155.57, 1852.48]",0.33
78,68,person,"[0.0, 1666.5, 191.87, 2654.44]",0.6
79,1,person,"[532.96, 1656.02, 879.11, 2633.13]",0.83
79,2,person,"[1309.77, 1642.23, 1531.57, 2386.12]",0.82
79,3,person,"[163.51, 1593.94, 545.56, 2651.91]",0.87
79,4,person,"[2031.61, 1669.01, 2160.0, 2101.34]",0.54
79,6,person,"[1083.11, 1698.0, 1290.31, 2349.15]",0.82
79,7,person,"[893.13, 1696.03, 1055.9, 2192.24]",0.72
79,9,backpack,"[1109.1, 1800.02, 1279.98, 2023.66]",0.46
79,83,person,"[1060.54, 1669.71, 1157.04, 1850.04]",0.37
79,68,person,"[0.0, 1680.39, 171.57, 2620.05]",0.63
80,1,person,"[537.0, 1654.32, 883.78, 2632.89]",0.82
80,2,person,"[1312.23, 1639.11, 1536.14, 2386.29]",0.82
80,3,person,"[174.54, 1588.64, 544.67, 2625.78]",0.86
80,4,person,"[2032.39, 1667.21, 2160.0, 2101.02]",0.59
80,6,person,"[1085.21, 1697.45, 1291.64, 2346.05]",0.79
80,7,person,"[896.14, 1697.37, 1059.81, 2193.68]",0.73
80,9,backpack,"[1113.93, 1802.15, 1282.57, 2023.32]",0.46
80,83,person,"[1060.94, 1668.55, 1159.46, 1853.04]",0.37
80,68,person,"[0.0, 1696.95, 159.09, 2612.67]",0.68
81,1,person,"[547.01, 1648.64, 882.9, 2589.66]",0.82
81,2,person,"[1313.89, 1635.02, 1537.94, 2378.49]",0.85
81,3,person,"[185.68, 1581.95, 548.34, 2606.14]",0.83
81,4,person,"[2035.0, 1668.81, 2160.0, 2098.04]",0.59
81,6,person,"[1086.66, 1695.79, 1293.95, 2347.48]",0.79
81,7,person,"[898.29, 1699.15, 1063.71, 2200.98]",0.72
81,9,backpack,"[1112.5, 1795.19, 1286.1, 2024.16]",0.53
81,83,person,"[1061.8, 1666.4, 1161.96, 1854.85]",0.32
81,68,person,"[0.0, 1708.04, 149.46, 2609.88]",0.61
81,92,handbag,"[817.44, 2162.72, 951.28, 2405.65]",0.38
82,1,person,"[547.36, 1642.17, 888.04, 2594.01]",0.83
82,2,person,"[1314.81, 1632.26, 1538.43, 2368.54]",0.85
82,3,person,"[185.39, 1575.84, 545.92, 2597.44]",0.83
82,4,person,"[2034.37, 1665.0, 2160.0, 2094.78]",0.65
82,6,person,"[1087.86, 1694.0, 1296.12, 2350.74]",0.77
82,7,person,"[900.22, 1699.25, 1063.43, 2194.17]",0.72
82,9,backpack,"[1110.38, 1790.99, 1287.35, 2026.03]",0.53
82,83,person,"[1067.55, 1666.13, 1165.42, 1849.8]",0.33
82,68,person,"[0.0, 1712.78, 135.13, 2600.12]",0.47
82,92,handbag,"[811.19, 2116.18, 962.36, 2390.62]",0.43
83,1,person,"[547.75, 1637.49, 887.23, 2579.13]",0.84
83,2,person,"[1314.13, 1627.73, 1539.91, 2365.38]",0.85
83,3,person,"[184.05, 1567.98, 547.94, 2600.08]",0.84
83,4,person,"[2034.4, 1663.94, 2160.0, 2093.44]",0.66
83,6,person,"[1088.76, 1694.78, 1297.6, 2355.31]",0.79
83,7,person,"[899.78, 1698.96, 1063.34, 2194.55]",0.73
83,9,backpack,"[1110.93, 1789.12, 1287.26, 2024.98]",0.5
83,83,person,"[1066.76, 1667.66, 1164.68, 1852.11]",0.32
83,92,handbag,"[815.22, 2108.5, 964.72, 2380.15]",0.35
84,1,person,"[548.35, 1629.79, 888.16, 2565.6]",0.84
84,2,person,"[1314.33, 1625.0, 1541.52, 2360.89]",0.85
84,3,person,"[180.03, 1565.97, 547.3, 2606.59]",0.86
84,4,person,"[2033.63, 1658.11, 2160.0, 2091.85]",0.67
84,6,person,"[1091.28, 1697.05, 1300.04, 2358.78]",0.75
84,7,person,"[900.12, 1696.74, 1064.14, 2194.37]",0.74
84,9,backpack,"[1108.52, 1796.95, 1283.45, 2030.02]",0.35
84,83,person,"[1064.19, 1664.12, 1164.45, 1854.61]",0.3
84,92,handbag,"[807.85, 2080.75, 968.38, 2373.59]",0.46
85,1,person,"[550.75, 1625.52, 890.55, 2554.75]",0.86
85,2,person,"[1313.6, 1621.77, 1542.93, 2358.72]",0.84
85,3,person,"[182.1, 1565.61, 551.17, 2613.24]",0.87
85,4,person,"[2036.48, 1655.37, 2160.0, 2089.01]",0.63
85,6,person,"[1093.03, 1696.61, 1299.61, 2353.16]",0.79
85,7,person,"[898.12, 1695.89, 1062.79, 2194.87]",0.75
85,9,backpack,"[1114.61, 1799.99, 1280.14, 2021.45]",0.51
85,83,person,"[1065.52, 1661.18, 1166.59, 1855.03]",0.31
86,1,person,"[551.4, 1620.24, 895.69, 2558.62]",0.86
86,2,person,"[1314.09, 1621.68, 1546.81, 2363.73]",0.81
86,3,person,"[186.87, 1565.11, 558.91, 2624.04]",0.86
86,4,person,"[2045.97, 1662.41, 2160.0, 2087.45]",0.48
86,6,person,"[1095.83, 1695.68, 1300.95, 2347.49]",0.81
86,7,person,"[898.46, 1692.74, 1064.29, 2198.2]",0.74
86,9,backpack,"[1119.2, 1809.58, 1275.61, 2019.01]",0.44
86,92,handbag,"[804.3, 2062.3, 970.28, 2366.67]",0.27
87,1,person,"[550.78, 1616.17, 897.54, 2559.59]",0.85
87,2,person,"[1316.6, 1622.31, 1550.25, 2359.94]",0.75
87,3,person,"[190.51, 1564.12, 565.45, 2635.39]",0.85
87,4,person,"[2047.28, 1666.21, 2160.0, 2087.57]",0.58
