frame,person_id,class,bbox,confidence
11,4,person,"[1755.41, 1704.5, 1927.31, 2135.5]",0.8
11,6,person,"[1001.46, 1717.06, 1187.67, 2374.48]",0.75
11,7,person,"[872.92, 1709.24, 1007.87, 2133.48]",0.75
11,8,person,"[697.0, 1694.48, 850.74, 2102.0]",0.73
11,9,backpack,"[989.83, 1770.17, 1198.27, 2065.37]",0.47
11,10,backpack,"[1198.08, 1792.33, 1355.88, 2053.89]",0.34
12,1,person,"[343.74, 1667.53, 702.26, 2734.7]",0.89
12,2,person,"[1160.6, 1656.28, 1374.01, 2390.75]",0.86
12,3,person,"[0.0, 1599.02, 296.58, 2664.47]",0.89
12,4,person,"[1755.74, 1698.7, 1929.73, 2134.45]",0.82
12,6,person,"[1001.78, 1714.25, 1186.86, 2367.61]",0.73
12,7,person,"[873.44, 1708.8, 1006.16, 2127.06]",0.74
12,8,person,"[696.29, 1694.47, 850.01, 2101.02]",0.73
12,9,backpack,"[994.96, 1768.05, 1194.15, 2055.2]",0.38
12,10,backpack,"[1199.98, 1790.94, 1350.5, 2042.55]",0.36
13,1,person,"[340.98, 1672.26, 699.19, 2735.11]",0.9
13,2,person,"[1164.03, 1652.88, 1379.33, 2388.65]",0.85
13,3,person,"[1.23, 1591.79, 301.13, 2667.76]",0.89
13,4,person,"[1755.59, 1691.95, 1931.77, 2132.02]",0.81
13,6,person,"[1003.02, 1709.39, 1187.25, 2359.36]",0.69
13,7,person,"[872.64, 1706.02, 1006.73, 2129.7]",0.74
13,8,person,"[697.83, 1699.71, 850.72, 2103.17]",0.71
13,9,backpack,"[1007.82, 1785.46, 1185.55, 2042.1]",0.63
13,10,backpack,"[1206.16, 1781.51, 1358.5, 2035.88]",0.43
14,1,person,"[336.61, 1672.11, 697.09, 2735.09]",0.9
14,2,person,"[1166.74, 1649.17, 1382.73, 2381.62]",0.83
14,3,person,"[0.0, 1585.4, 306.33, 2686.78]",0.89
14,4,person,"[1754.17, 1687.94, 1932.3, 2132.61]",0.81
14,6,person,"[1003.61, 1691.23, 1192.2, 2357.26]",0.67
14,7,person,"[872.13, 1703.63, 1007.57, 2133.11]",0.72
14,8,person,"[698.92, 1704.11, 849.95, 2100.69]",0.68
14,9,backpack,"[1009.02, 1780.27, 1185.46, 2037.13]",0.42
14,10,backpack,"[1208.86, 1772.34, 1364.98, 2031.57]",0.4
15,1,person,"[355.97, 1673.25, 698.71, 2676.46]",0.88
15,2,person,"[1172.71, 1649.17, 1387.22, 2368.36]",0.83
15,3,person,"[2.56, 1577.75, 314.46, 2694.61]",0.89
15,4,person,"[1756.96, 1683.84, 1937.08, 2131.07]",0.8
15,6,person,"[1008.01, 1701.05, 1193.86, 2356.97]",0.72
15,7,person,"[869.17, 1702.38, 1005.5, 2135.18]",0.74
15,8,person,"[695.37, 1704.01, 846.26, 2100.09]",0.68
15,9,backpack,"[1016.32, 1794.47, 1182.25, 2036.78]",0.49
15,10,backpack,"[1210.11, 1768.67, 1367.06, 2029.0]",0.32
16,1,person,"[348.08, 1665.7, 707.95, 2717.23]",0.87
16,2,person,"[1174.72, 1647.66, 1393.06, 2374.6]",0.83
16,3,person,"[3.75, 1569.57, 322.15, 2706.33]",0.88
16,4,person,"[1760.68, 1680.01, 1943.24, 2130.61]",0.79
16,6,person,"[1010.89, 1695.83, 1197.4, 2354.36]",0.67
16,7,person,"[868.04, 1703.08, 1003.56, 2133.55]",0.76
16,8,person,"[694.85, 1702.62, 846.3, 2099.1]",0.66
16,9,backpack,"[1018.24, 1774.59, 1190.06, 2029.07]",0.54
16,10,backpack,"[1209.6, 1766.97, 1368.05, 2029.04]",0.37
17,1,person,"[370.1, 1661.18, 716.53, 2666.8]",0.89
17,2,person,"[1176.22, 1646.4, 1398.47, 2383.46]",0.84
17,3,person,"[5.87, 1567.79, 329.85, 2721.03]",0.89
17,4,person,"[1763.65, 1677.75, 1946.78, 2130.1]",0.78
17,6,person,"[1011.39, 1699.78, 1197.88, 2357.26]",0.7
17,7,person,"[871.44, 1704.7, 1005.83, 2132.18]",0.73
17,8,person,"[692.92, 1701.16, 845.66, 2098.24]",0.69
17,9,backpack,"[1020.15, 1772.81, 1191.7, 2029.12]",0.54
17,10,backpack,"[1210.41, 1765.55, 1369.74, 2028.85]",0.39
18,1,person,"[381.79, 1656.13, 726.95, 2650.25]",0.88
18,2,person,"[1178.25, 1646.93, 1404.59, 2394.82]",0.84
18,3,person,"[9.43, 1570.44, 336.42, 2727.8]",0.89
18,4,person,"[1765.09, 1676.89, 1947.13, 2124.42]",0.79
18,6,person,"[1014.45, 1712.8, 1197.57, 2355.62]",0.73
18,7,person,"[871.86, 1706.1, 1007.02, 2134.75]",0.74
18,8,person,"[692.41, 1699.79, 846.04, 2097.1]",0.71
18,9,backpack,"[1025.62, 1793.56, 1184.93, 2029.95]",0.5
18,10,backpack,"[1208.96, 1768.81, 1367.32, 2031.68]",0.27
19,1,person,"[383.46, 1647.67, 737.16, 2666.9]",0.86
19,2,person,"[1182.77, 1650.29, 1403.59, 2375.56]",0.84
19,3,person,"[12.47, 1576.97, 345.82, 2747.12]",0.89
19,4,person,"[1770.25, 1676.85, 1952.03, 2122.46]",0.79
19,6,person,"[1014.29, 1715.19, 1199.76, 2366.18]",0.71
19,7,person,"[872.77, 1706.66, 1008.91, 2136.73]",0.76
19,8,person,"[689.93, 1699.49, 845.53, 2101.89]",0.72
19,9,backpack,"[1026.66, 1799.2, 1185.18, 2032.92]",0.6
20,1,person,"[389.95, 1647.76, 743.26, 2663.42]",0.88
20,2,person,"[1185.19, 1654.42, 1408.23, 2382.19]",0.85
20,3,person,"[14.82, 1581.27, 355.51, 2769.41]",0.9
20,4,person,"[1774.99, 1678.42, 1957.79, 2126.74]",0.76
20,6,person,"[1014.48, 1717.47, 1203.16, 2378.15]",0.76
20,7,person,"[872.39, 1706.84, 1009.11, 2137.4]",0.74
20,8,person,"[688.22, 1700.82, 845.82, 2108.26]",0.66
20,9,backpack,"[1031.18, 1819.74, 1180.17, 2037.49]",0.4
21,1,person,"[393.12, 1648.62, 744.49, 2655.4]",0.88
21,2,person,"[1182.5, 1658.68, 1412.36, 2407.94]",0.85
21,3,person,"[15.98, 1590.47, 361.31, 2785.97]",0.9
21,4,person,"[1778.04, 1680.88, 1959.88, 2132.25]",0.79
21,6,person,"[1014.04, 1720.4, 1203.3, 2382.65]",0.78
21,7,person,"[871.87, 1703.79, 1009.86, 2135.47]",0.74
21,8,person,"[686.96, 1699.66, 843.78, 2104.89]",0.65
21,9,backpack,"[1031.57, 1827.9, 1179.23, 2041.84]",0.45
21,29,person,"[1926.22, 1690.42, 2002.43, 1954.33]",0.34
22,1,person,"[395.42, 1648.28, 746.14, 2649.88]",0.88
22,2,person,"[1185.78, 1662.85, 1414.55, 2403.1]",0.85
22,3,person,"[17.87, 1602.06, 365.79, 2796.45]",0.91
22,4,person,"[1782.14, 1683.1, 1963.42, 2136.34]",0.76
22,6,person,"[1012.93, 1722.77, 1203.29, 2388.15]",0.77
22,7,person,"[869.55, 1703.98, 1007.92, 2133.69]",0.76
22,8,person,"[683.56, 1697.22, 838.79, 2098.61]",0.57
22,9,backpack,"[1030.16, 1832.04, 1180.09, 2048.21]",0.63
22,29,person,"[1931.01, 1692.21, 2005.56, 1950.23]",0.38
23,1,person,"[389.43, 1648.77, 749.46, 2676.13]",0.88
23,2,person,"[1187.71, 1665.31, 1417.7, 2408.9]",0.85
23,3,person,"[20.28, 1609.88, 368.83, 2794.37]",0.9
23,4,person,"[1796.61, 1682.0, 1979.36, 2139.15]",0.72
23,6,person,"[1010.56, 1726.42, 1201.9, 2393.31]",0.77
23,7,person,"[869.41, 1703.3, 1008.98, 2135.4]",0.75
23,8,person,"[678.91, 1696.31, 839.93, 2115.17]",0.55
23,9,backpack,"[1031.64, 1840.0, 1183.22, 2058.2]",0.66
24,1,person,"[386.51, 1651.3, 751.47, 2689.77]",0.87
24,2,person,"[1192.28, 1667.75, 1423.0, 2413.17]",0.83
24,3,person,"[21.24, 1616.09, 371.92, 2794.54]",0.9
24,4,person,"[1796.64, 1682.91, 1981.53, 2138.97]",0.71
24,6,person,"[1009.86, 1731.08, 1201.7, 2399.25]",0.74
24,7,person,"[868.76, 1704.67, 1010.13, 2142.44]",0.72
24,8,person,"[679.57, 1695.08, 836.1, 2103.49]",0.57
24,9,backpack,"[1028.58, 1838.06, 1183.75, 2060.7]",0.58
25,1,person,"[382.12, 1653.16, 754.66, 2713.45]",0.86
25,2,person,"[1196.67, 1668.7, 1424.27, 2400.7]",0.84
25,3,person,"[20.78, 1618.84, 375.47, 2798.23]",0.9
25,4,person,"[1800.3, 1683.18, 1989.51, 2143.64]",0.69
25,6,person,"[1009.45, 1728.21, 1199.84, 2389.57]",0.71
25,7,person,"[867.73, 1705.67, 1009.55, 2143.88]",0.74
25,8,person,"[676.96, 1695.08, 834.94, 2110.39]",0.59
25,9,backpack,"[1024.59, 1836.32, 1184.11, 2064.31]",0.54
26,1,person,"[379.2, 1652.92, 757.43, 2732.99]",0.87
26,2,person,"[1199.59, 1668.12, 1426.86, 2398.94]",0.82
26,3,person,"[17.92, 1616.55, 376.09, 2797.51]",0.91
26,4,person,"[1803.47, 1683.89, 1990.23, 2138.95]",0.71
26,6,person,"[1010.73, 1727.43, 1199.97, 2382.85]",0.74
26,7,person,"[863.67, 1704.35, 1010.12, 2155.28]",0.73
26,8,person,"[673.66, 1694.35, 832.74, 2114.16]",0.57
26,9,backpack,"[1029.23, 1836.74, 1183.58, 2056.84]",0.25
27,1,person,"[377.89, 1655.71, 757.45, 2742.59]",0.87
27,2,person,"[1198.55, 1662.65, 1429.5, 2406.95]",0.83
27,3,person,"[11.46, 1614.93, 372.68, 2801.37]",0.91
27,4,person,"[1802.56, 1683.36, 1991.72, 2142.83]",0.74
27,6,person,"[1010.6, 1728.66, 1197.26, 2371.19]",0.78
27,7,person,"[862.2, 1704.05, 1007.42, 2149.39]",0.71
27,8,person,"[673.22, 1693.82, 832.3, 2114.82]",0.57
28,1,person,"[378.94, 1658.38, 757.11, 2744.5]",0.87
28,2,person,"[1201.33, 1657.97, 1431.5, 2401.02]",0.81
28,3,person,"[8.89, 1606.7, 365.81, 2775.6]",0.9
28,4,person,"[1813.34, 1681.89, 2000.42, 2137.74]",0.75
28,6,person,"[1010.32, 1723.66, 1196.59, 2361.44]",0.79
28,7,person,"[857.55, 1704.25, 1003.23, 2147.48]",0.72
28,8,person,"[673.69, 1693.66, 832.05, 2112.84]",0.59
28,9,backpack,"[1028.3, 1825.54, 1180.65, 2040.92]",0.41
29,1,person,"[383.07, 1660.25, 758.28, 2740.23]",0.86
29,2,person,"[1202.68, 1654.37, 1430.9, 2390.99]",0.81
29,3,person,"[5.67, 1590.17, 357.88, 2741.98]",0.89
29,4,person,"[1822.28, 1682.22, 2005.43, 2130.07]",0.77
29,6,person,"[1009.33, 1718.17, 1196.25, 2355.09]",0.79
29,7,person,"[855.22, 1703.05, 1005.57, 2159.23]",0.74
29,8,person,"[675.42, 1696.21, 831.66, 2111.62]",0.57
29,9,backpack,"[1025.23, 1818.15, 1180.31, 2034.95]",0.47
30,1,person,"[384.61, 1661.55, 757.64, 2737.35]",0.86
30,2,person,"[1203.43, 1650.15, 1431.64, 2386.77]",0.83
30,3,person,"[0.19, 1580.17, 342.21, 2704.53]",0.9
30,4,person,"[1830.67, 1684.12, 2011.5, 2127.38]",0.76
30,6,person,"[1008.32, 1713.08, 1196.36, 2349.88]",0.8
30,7,person,"[853.45, 1703.5, 1004.76, 2160.04]",0.74
30,8,person,"[676.46, 1698.44, 827.18, 2100.07]",0.5
30,9,backpack,"[1020.19, 1800.64, 1186.24, 2032.9]",0.26
31,1,person,"[382.31, 1652.72, 756.28, 2735.72]",0.84
